key_term_id,"key_term","key_time","Description","type",region
64,"Bangladesh","2007-09-17 14:37:59",NULL,"R",12
65,"Vietnam","2007-09-17 14:38:16",NULL,"R",12
66,"Turkey","2007-09-17 15:07:11",NULL,"R",11
67,"Spain","2007-09-17 15:07:20",NULL,"R",11
68,"Netherlands","2007-09-17 15:07:33",NULL,"R",11
69,"Finland","2007-09-17 15:07:43",NULL,"R",11
70,"Denmark","2007-09-17 15:07:52",NULL,"R",11
71,"Iceland","2007-09-17 15:08:01",NULL,"R",11
72,"Norway","2007-09-17 15:08:08",NULL,"R",11
73,"Switzerland","2007-09-17 15:08:22",NULL,"R",11
74,"Poland","2007-09-17 15:13:23",NULL,"R",11
75,"Belize","2007-09-17 15:43:07",NULL,"R",13
76,"Guatemala","2007-09-17 15:43:19",NULL,"R",13
77,"Nicaragua","2007-09-17 15:43:34",NULL,"R",13
78,"Iraq","2007-09-17 15:59:02",NULL,"R",31
79,"Israel","2007-09-17 15:59:32",NULL,"R",31
80,"Transportation","2008-07-30 08:04:38",NULL,"S",NULL
81,"U.S. Legislative Bodies","2007-09-23 14:46:44",NULL,"S",2
82,"Government Structure","2007-09-23 14:54:05",NULL,"S",2
83,"Censuses","2008-07-30 08:39:07",NULL,"S",41
94,"Colombia","2007-12-13 14:02:01",NULL,"R",13
84,"Substance Abuse","2007-09-23 15:22:44",NULL,"S",4
85,"Crime - Non USA","2007-09-24 10:50:35",NULL,"S",20
86,"Education - Non USA","2007-09-24 12:44:53",NULL,"S",7
87,"Children & Families - Non USA","2007-12-12 11:22:28",NULL,"S",23
88,"Health - Non USA","2007-09-24 12:51:56",NULL,"S",4
89,"Social Attitudes & Values - Non USA","2007-12-12 11:23:29",NULL,"S",9
151,"Health - Latin America","2009-07-23 14:27:27",NULL,"R",88
91,"Labor - Non USA","2013-05-15 11:04:14",NULL,"S",8
92,"Ghana","2007-09-28 08:32:20",NULL,"R",14
93,"Ireland","2007-11-15 12:37:56",NULL,"R",11
95,"Hungary","2007-12-13 14:02:14",NULL,"R",11
96,"Sweden","2007-12-13 14:02:24",NULL,"R",11
97,"Zambia","2007-12-13 14:02:49",NULL,"R",14
98,"Businesses","2008-02-06 09:02:21",NULL,"S",NULL
101,"Incarcerated","2008-09-30 15:55:44",NULL,"R",20
99,"Housing","2008-07-30 08:32:52",NULL,"S",NULL
102,"Migration","2008-10-17 15:06:45",NULL,"R",41
103,"Art, Culture, & Leisure - Non USA","2010-07-26 15:18:08",NULL,"R",38
104,"Nigeria","2009-01-30 09:33:30",NULL,"R",14
105,"Uganda","2009-07-16 16:11:29",NULL,"R",14
106,"Benin","2009-07-16 16:19:22",NULL,"R",14
107,"Burkina Faso","2009-07-16 16:19:32",NULL,"R",14
108,"Egypt","2015-11-25 12:48:17",NULL,"R",31
109,"Ethiopia","2009-07-16 16:20:23",NULL,"R",14
110,"Kenya","2009-07-16 16:20:31",NULL,"R",14
111,"Malawi","2009-07-16 16:20:40",NULL,"R",14
112,"Mali","2009-07-16 16:20:52",NULL,"R",14
113,"Senegal","2009-07-16 16:22:44",NULL,"R",14
114,"Honduras","2009-07-17 11:54:28",NULL,"R",13
115,"Argentina","2009-07-19 14:16:44",NULL,"R",13
116,"Chile","2009-07-19 14:16:52",NULL,"R",13
117,"Costa Rica","2009-07-19 14:17:08",NULL,"R",13
118,"Cuba","2009-07-19 14:17:23",NULL,"R",13
119,"Dominican Republic","2009-07-19 14:17:36",NULL,"R",13
120,"El Salvador","2009-07-19 14:17:50",NULL,"R",13
121,"Haiti","2009-07-19 14:18:02",NULL,"R",13
122,"Jamaica","2009-07-19 14:18:09",NULL,"R",13
123,"Panama","2009-07-19 14:18:31",NULL,"R",13
124,"Venezuela","2009-07-19 14:18:42",NULL,"R",13
125,"Bolivia","2009-07-19 14:26:38",NULL,"R",13
126,"Uruguay","2009-07-19 14:29:29",NULL,"R",13
127,"Barbados","2009-07-19 14:30:49",NULL,"R",13
128,"Labor - UK","2013-05-15 11:05:05",NULL,"R",165
129,"Labor - Canada","2013-05-15 11:02:22",NULL,"R",91
130,"Labor - China","2013-05-15 10:40:10",NULL,"R",164
131,"Education - China","2009-07-24 09:02:34",NULL,"R",158
132,"Education - Canada","2009-07-22 15:11:28",NULL,"R",86
133,"Education - UK","2009-07-24 09:04:18",NULL,"R",160
134,"Health - Canada","2009-07-22 15:22:27",NULL,"R",88
135,"Health - China","2009-08-14 14:31:00",NULL,"R",152
136,"Health - UK","2010-10-28 09:51:11",NULL,"R",154
137,"Crime - UK","2011-09-29 14:28:42",NULL,"R",258
138,"Religion - Non USA","2009-07-22 16:04:15",NULL,"R",1
139,"Housing - Non USA","2009-07-23 09:01:49",NULL,"R",99
140,"Young Adults - Non USA","2009-07-23 09:05:56",NULL,"R",36
141,"Businesses - Non USA","2009-07-23 09:23:33",NULL,"R",98
142,"Community & Urban Studies - Non USA","2009-07-23 09:29:20",NULL,"R",28
143,"Elections - Non USA","2009-07-23 09:35:04",NULL,"R",46
144,"Public Opinion - Latin America & Caribbean","2009-07-23 11:38:01",NULL,"R",24
145,"Public Opinion - Africa","2009-07-23 11:38:05",NULL,"R",24
146,"Public Opinion - Europe","2009-07-23 11:38:08",NULL,"R",24
147,"Public Opinion - Asia","2009-07-23 11:38:09",NULL,"R",24
148,"Public Opinion - Canada","2009-07-23 11:38:11",NULL,"R",24
149,"Public Opinion - Middle East","2009-07-23 11:38:13",NULL,"R",24
150,"Public Opinion - Australia & New Zealand","2009-07-23 14:28:20",NULL,"R",24
152,"Health - Asia","2009-07-23 14:28:05",NULL,"R",88
158,"Education - Asia","2009-07-24 08:44:29",NULL,"R",86
154,"Health - Europe","2009-07-23 14:29:53",NULL,"R",88
155,"Health - Middle East","2009-07-23 14:30:07",NULL,"R",88
156,"Health - Africa","2009-07-23 14:37:47",NULL,"R",88
157,"Health - Australia & New Zealand","2009-07-23 14:38:10",NULL,"R",88
159,"Education - Africa","2009-07-24 08:44:37",NULL,"R",86
160,"Education - Europe","2009-07-24 08:44:47",NULL,"R",86
161,"Education - Latin America & Caribbean","2009-07-24 08:45:01",NULL,"R",86
162,"Education - Middle East","2009-07-24 08:45:10",NULL,"R",86
163,"Labor - Africa","2013-05-15 10:36:40",NULL,"R",91
164,"Labor - Asia","2013-05-15 10:38:39",NULL,"R",91
165,"Labor - Europe","2013-05-15 11:02:41",NULL,"R",91
166,"Labor - Latin America & Caribbean","2013-05-15 11:01:10",NULL,"R",91
167,"Labor - Middle East","2013-05-15 11:04:04",NULL,"R",91
169,"Labor - Australia & New Zealand","2013-05-15 11:02:02",NULL,"R",91
170,"Women & Gender - Non USA","2010-08-24 14:56:11",NULL,"R",27
171,"Race, Ethnicity, Ethnic Relations- Non USA","2010-08-24 15:06:54",NULL,"R",25
172,"Consumer Spending & Finance - Non USA","2010-08-24 15:21:11",NULL,"R",48
173,"Transportation - Non USA","2010-08-24 15:36:31",NULL,"R",80
174,"Young Adults - UK","2010-08-24 15:41:48",NULL,"S",140
175,"Social Networks","2010-10-01 08:20:05",NULL,"S",NULL
176,"Health - South Africa","2011-09-28 08:31:54",NULL,"R",156
177,"Health - Bangladesh","2011-09-28 08:41:29",NULL,"R",152
178,"Health - India","2011-09-28 08:51:07",NULL,"R",152
179,"Health - Philippines","2011-09-28 08:51:25",NULL,"R",152
180,"Health - Mexico","2011-09-28 09:03:07",NULL,"R",151
181,"Health - Nicaragua","2011-09-28 09:03:16",NULL,"R",151
182,"Health - Honduras","2011-09-28 09:03:24",NULL,"R",151
183,"Health - Costa Rica","2011-09-28 09:03:31",NULL,"R",151
184,"Health - Brazil","2011-09-28 09:05:18",NULL,"R",151
185,"Health - Panama","2011-09-28 09:03:59",NULL,"R",151
186,"Health - Belize","2011-09-28 09:04:12",NULL,"R",151
187,"Health - Guatemala","2011-09-28 09:04:29",NULL,"R",151
188,"Health - El Salvador","2011-09-28 09:04:42",NULL,"R",151
189,"Health - Haiti","2011-09-28 09:37:20",NULL,"R",151
190,"Education - India","2011-09-28 09:46:53",NULL,"R",158
191,"Education - Philippines","2011-09-28 09:47:05",NULL,"R",158
192,"Education - Bangladesh","2011-09-28 09:47:16",NULL,"R",158
193,"Education - Mexico","2011-09-28 10:45:28",NULL,"R",161
194,"Education - Brazil","2011-09-28 10:45:39",NULL,"R",161
195,"Education - Colombia","2011-09-28 10:45:49",NULL,"R",161
196,"Education - Panama","2011-09-28 10:45:57",NULL,"R",161
197,"Education - Uruguay","2011-09-28 10:46:24",NULL,"R",161
198,"Education - Peru","2011-09-28 10:46:31",NULL,"R",161
199,"Education - Chile","2011-09-28 10:53:55",NULL,"R",161
200,"Labor - Malawi","2013-05-15 11:01:20",NULL,"R",163
201,"Labor - Mali","2013-05-15 11:01:58",NULL,"R",163
202,"Labor - Uganda","2013-05-15 11:05:02",NULL,"R",163
203,"Labor - Egypt","2013-05-15 11:02:34",NULL,"R",163
204,"Labor - Ethiopia","2013-05-15 11:02:38",NULL,"R",163
205,"Labor - Ghana","2013-05-15 11:02:53",NULL,"R",163
206,"Labor - South Africa","2013-05-15 11:04:42",NULL,"R",163
207,"Labor - Kenya","2013-05-15 11:01:05",NULL,"R",163
208,"Labor - Nigeria","2013-05-15 10:41:17",NULL,"R",163
209,"Labor - Senegal","2013-05-15 10:43:05",NULL,"R",163
210,"Labor - Zambia","2013-05-15 11:05:16",NULL,"R",163
211,"Labor - India","2013-05-15 11:03:10",NULL,"R",164
212,"Labor - Philippines","2013-05-15 11:04:27",NULL,"R",164
213,"Labor - Bangladesh","2013-05-15 11:02:09",NULL,"R",164
214,"Labor - South Korea","2013-05-15 11:04:45",NULL,"R",164
215,"Labor - Indonesia","2013-05-15 11:03:13",NULL,"R",164
216,"Labor - Japan","2013-05-15 11:03:30",NULL,"R",164
217,"Labor - Thailand","2013-05-15 11:04:54",NULL,"R",164
218,"Labor - Pakistan","2013-05-15 11:04:21",NULL,"R",164
219,"Labor - Taiwan","2013-05-15 11:04:52",NULL,"R",164
220,"Labor - Vietnam","2013-05-15 11:05:11",NULL,"R",164
221,"Labor - Argentina","2013-05-15 10:38:18",NULL,"R",166
222,"Labor - Brazil","2013-05-15 11:02:19",NULL,"R",166
223,"Labor - Mexico","2013-05-15 11:03:58",NULL,"R",166
224,"Labor - Guatemala","2013-05-15 11:02:58",NULL,"R",166
225,"Labor - Honduras","2013-05-15 11:03:01",NULL,"R",166
226,"Labor - Chile","2013-05-15 10:39:52",NULL,"R",166
227,"Labor - Colombia","2013-05-15 10:40:14",NULL,"R",166
228,"Labor - Uruguay","2013-05-15 11:05:08",NULL,"R",166
229,"Labor - Nicaragua","2013-05-15 11:04:09",NULL,"R",166
230,"Labor - Cuba","2013-05-15 11:02:28",NULL,"R",166
231,"Labor - Peru","2013-05-15 11:04:24",NULL,"R",166
232,"Elections - Australia","2011-09-29 08:28:18",NULL,"R",143
233,"Elections - Canada","2011-09-29 08:28:27",NULL,"R",143
234,"Elections - Europe","2011-09-29 08:28:36",NULL,"R",143
235,"Elections - Middle East","2011-09-29 09:10:58",NULL,"R",143
236,"Elections - Asia","2011-09-29 08:28:56",NULL,"R",143
237,"Elections - Africa","2011-09-29 08:29:05",NULL,"R",143
238,"Elections - Latin America","2011-09-29 08:29:18",NULL,"R",143
239,"Children & Families - Europe","2011-09-29 09:19:37",NULL,"R",87
240,"Children & Families - Asia","2011-09-29 09:19:47",NULL,"R",87
241,"Children & Families - Middle East","2011-09-29 09:19:58",NULL,"R",87
242,"Children & Families - Canada","2011-09-29 09:20:10",NULL,"R",87
243,"Children & Families - Africa","2011-09-29 09:20:22",NULL,"R",87
244,"Children & Families - Latin America","2011-09-29 09:20:33",NULL,"R",87
245,"Children & Families - Australia","2011-09-29 09:20:47",NULL,"R",87
246,"Consumer Spending - Canada","2011-09-29 09:43:15",NULL,"R",172
247,"Consumer Spending - Europe","2011-09-29 09:43:29",NULL,"R",172
248,"Consumer Spending - Latin America","2011-09-29 09:43:43",NULL,"R",172
249,"Consumer Spending - Africa","2011-09-29 09:43:54",NULL,"R",172
250,"Consumer Spending - Asia","2011-09-29 09:44:04",NULL,"R",172
251,"Consumer Spending - Middle East","2011-09-29 09:44:14",NULL,"R",172
252,"Consumer Spending - Australia & New Zealand","2011-09-29 09:55:47",NULL,"R",172
253,"Housing - Canada","2011-09-29 10:21:01",NULL,"R",139
254,"Housing - U.K.","2011-09-29 10:21:11",NULL,"R",139
255,"Housing - Asia","2011-09-29 10:21:23",NULL,"R",139
256,"Housing - Palestine","2011-09-29 10:21:35",NULL,"R",139
257,"Crime - China","2011-09-29 14:27:48",NULL,"R",85
258,"Crime - Europe","2011-09-29 14:27:57",NULL,"R",85
259,"Crime - Africa","2011-09-29 14:28:05",NULL,"R",85
260,"Crime - Canada","2011-09-29 14:28:14",NULL,"R",85
261,"Crime - Middle East","2011-09-29 14:28:22",NULL,"R",85
262,"Crime - Latin America","2011-09-29 16:30:07",NULL,"R",85
263,"Crime - Australia & New Zealand","2011-09-29 16:30:22",NULL,"R",85
264,"Elections - UK","2012-02-24 11:00:59",NULL,"R",234
265,"Elections - Netherlands","2012-02-26 12:48:20",NULL,"R",234
266,"Elections - Finland","2012-02-24 11:00:48",NULL,"R",234
267,"Elections - Germany","2012-02-24 11:00:50",NULL,"R",234
268,"Elections - Ireland","2012-02-24 11:00:54",NULL,"R",234
269,"Elections - Sweden","2012-02-24 11:00:57",NULL,"R",234
270,"Religion - Africa","2012-02-29 08:06:28",NULL,"R",138
271,"Religion - Asia","2012-02-29 08:06:37",NULL,"R",138
272,"Religion - Canada","2012-02-29 08:06:48",NULL,"R",138
273,"Religion - Europe","2012-02-29 08:07:00",NULL,"R",138
274,"Religion - Latin America","2012-02-29 08:07:14",NULL,"R",138
275,"Religion - Middle East","2012-02-29 08:07:24",NULL,"R",138
276,"Businesses - Africa","2012-02-29 10:45:39",NULL,"R",141
277,"Businesses - Asia","2012-02-29 10:45:49",NULL,"R",141
278,"Businesses - Europe","2012-02-29 10:46:00",NULL,"R",141
279,"Businesses - Latin America","2012-02-29 10:46:10",NULL,"R",141
280,"Community - Europe","2012-02-29 11:13:57",NULL,"R",142
281,"Community - Asia","2012-02-29 11:14:05",NULL,"R",142
282,"Community - Latin America","2012-02-29 11:14:24",NULL,"R",142
283,"Community - Africa","2012-02-29 11:14:37",NULL,"R",142
284,"Race - Latin America","2012-02-29 11:35:28",NULL,"R",171
285,"Race - Australia","2012-02-29 11:35:43",NULL,"R",171
286,"Race - Europe","2012-02-29 11:35:57",NULL,"R",171
287,"Race - Canada","2012-02-29 11:36:09",NULL,"R",171
288,"Race - Africa","2012-02-29 11:36:21",NULL,"R",171
289,"Women - Asia","2012-02-29 11:49:49",NULL,"R",170
290,"Women - Europe","2012-02-29 11:49:58",NULL,"R",170
291,"Women - Africa","2012-02-29 11:50:09",NULL,"R",170
292,"Women - Latin America","2012-02-29 11:50:19",NULL,"R",170
293,"Art, Culture, & Leisure - Canada","2012-02-29 13:27:01",NULL,"R",103
294,"Art, Culture, & Leisure - UK","2012-02-29 13:42:15",NULL,"R",296
295,"Art, Culture, & Leisure - Palestine","2012-02-29 13:40:02",NULL,"R",103
296,"Art, Culture, & Leisure - Europe","2012-02-29 13:41:58",NULL,"R",103
297,"Art, Culture, & Leisure - Brazil","2012-02-29 13:45:02",NULL,"R",103
298,"Incarcerated - Europe","2012-02-29 13:55:01",NULL,"R",101
299,"Government Structure - non USA","2012-02-29 13:58:24",NULL,"R",82
300,"Science, Technology, Computers, Internet - non USA","2012-02-29 14:14:26",NULL,"R",37
301,"Science, Technology, Computers, Internet - Canada","2012-02-29 14:25:10",NULL,"R",300
302,"Science, Technology, Computers, Internet - Europe","2012-02-29 14:25:20",NULL,"R",300
303,"Transportation - UK","2012-02-29 14:40:47",NULL,"R",173
304,"Longitudinal Surveys - Non USA","2012-05-10 12:17:04",NULL,"R",21
305,"Longitudinal Surveys - Europe","2012-05-10 12:29:45",NULL,"R",304
306,"Longitudinal Surveys - Asia","2012-05-10 12:34:15",NULL,"R",304
307,"Longitudinal Surveys - Canada","2012-05-10 12:37:14",NULL,"R",304
308,"Longitudinal Surveys - Africa","2012-05-10 12:39:45",NULL,"R",304
309,"Longitudinal Surveys - Latin America","2012-05-10 12:39:59",NULL,"R",304
310,"Morocco","2012-06-28 14:54:54",NULL,"R",14
311,"Greece","2012-06-29 08:18:23",NULL,"R",11
312,"Portugal","2012-06-29 08:18:34",NULL,"R",11
313,"Romania","2012-06-29 08:18:54",NULL,"R",11
314,"Austria","2012-06-29 08:19:09",NULL,"R",11
315,"Armenia","2012-06-29 08:20:57",NULL,"R",11
316,"Slovenia","2012-06-29 08:21:09",NULL,"R",11
317,"Belarus","2012-06-29 08:21:26",NULL,"R",11
318,"Belgium","2012-06-29 08:33:23",NULL,"R",11
319,"Iran","2012-06-29 13:46:00",NULL,"R",31
320,"Rwanda","2012-06-29 15:28:01",NULL,"R",14
321,"Sierra Leone","2012-06-29 15:28:09",NULL,"R",14
322,"Tanzania","2012-06-29 15:28:19",NULL,"R",14
323,"Sudan","2012-06-29 15:28:28",NULL,"R",14
324,"Liberia","2012-06-29 15:39:29",NULL,"R",14
325,"Botswana","2012-06-29 15:40:32",NULL,"R",14
345,"Zimbabwe","2013-02-08 13:02:23",NULL,"R",14
327,"Cameroon","2012-06-29 15:41:34",NULL,"R",14
328,"Gambia","2012-06-29 15:41:40",NULL,"R",14
329,"Lesotho","2012-06-29 15:42:29",NULL,"R",14
330,"Swaziland","2012-06-29 15:44:05",NULL,"R",14
331,"Madagascar","2012-06-29 15:51:11",NULL,"R",14
332,"Tunisia","2012-06-29 15:56:11",NULL,"R",14
333,"Niger","2012-06-29 15:59:15",NULL,"R",14
334,"Somalia","2012-06-29 16:01:37",NULL,"R",14
335,"Chad","2012-06-29 16:05:21",NULL,"R",14
336,"Democratic Republic of the Congo (formerly Zaire)","2015-07-28 10:05:58",NULL,"R",14
337,"Djibouti","2012-06-29 16:05:50",NULL,"R",14
338,"Guinea Bissau","2012-06-29 16:06:01",NULL,"R",14
339,"Mozambique","2012-06-29 16:06:17",NULL,"R",14
340,"Ecuador","2012-07-05 16:20:24",NULL,"R",13
341,"Saint Lucia","2012-07-05 16:20:33",NULL,"R",13
342,"Cambodia","2012-07-05 16:23:56",NULL,"R",12
343,"Mongolia","2012-07-05 16:23:29",NULL,"R",12
344,"Kyrgz Republic (Kyrgyzstan)","2012-07-05 16:23:59",NULL,"R",12
346,"Labor - Italy","2013-05-15 11:03:22",NULL,"R",165
347,"Labor - Sweden","2013-05-15 11:00:52",NULL,"R",165
348,"Labor - Norway","2013-05-15 11:04:18",NULL,"R",165
349,"Labor - Finland","2013-05-15 11:02:44",NULL,"R",165
350,"Labor - Russia","2013-05-15 11:04:35",NULL,"R",165
351,"Labor - Ireland","2013-05-15 11:03:15",NULL,"R",165
352,"Labor - Hungary","2013-05-15 11:03:04",NULL,"R",165
353,"Labor - Poland","2013-05-15 11:04:30",NULL,"R",165
354,"Labor - Armenia","2013-05-15 11:00:05",NULL,"R",165
355,"Labor - Austria","2013-05-15 11:02:05",NULL,"R",165
356,"Labor - Belgium","2013-05-15 11:02:15",NULL,"R",165
357,"Labor - Denmark","2013-05-15 11:02:32",NULL,"R",165
358,"Labor - Germany","2013-05-15 11:02:50",NULL,"R",165
359,"Labor - Greece","2013-05-15 11:02:55",NULL,"R",165
360,"Labor - France","2013-05-15 11:02:47",NULL,"R",165
361,"Labor - Netherlands","2013-05-15 11:04:07",NULL,"R",165
362,"Labor - Portugal","2013-05-15 11:00:59",NULL,"R",165
363,"Labor - Romania","2013-05-15 11:04:33",NULL,"R",165
364,"Labor - Spain","2013-05-15 11:00:37",NULL,"R",165
365,"Labor - Switzerland","2013-05-15 11:04:49",NULL,"R",165
370,"Health - Argentina","2013-09-27 12:21:47",NULL,"R",151
366,"Labor - Iceland","2013-05-15 11:03:07",NULL,"R",165
367,"Labor - Slovenia","2013-05-15 11:04:38",NULL,"R",165
368,"Labor - Turkey","2013-05-15 11:04:57",NULL,"R",165
369,"Labor - Belarus","2013-05-15 11:02:12",NULL,"R",165
371,"Consumer Spending - Brazil","2013-09-27 14:32:25",NULL,"R",248
372,"Consumer Spending - Bolivia","2013-09-27 14:32:35",NULL,"R",248
373,"Consumer Spending - Argentina","2013-09-27 14:32:47",NULL,"R",248
374,"Consumer Spending - Cuba","2013-09-27 14:32:59",NULL,"R",248
375,"Consumer Spending - Mexico","2013-09-27 14:33:13",NULL,"R",248
376,"Consumer Spending - Peru","2013-09-27 14:33:23",NULL,"R",248
377,"Health - Bolivia","2013-09-27 14:40:53",NULL,"R",151
378,"Consumer Spending - Ecuador","2013-09-27 14:55:05",NULL,"R",248
379,"Consumer Spending - Uruguay","2013-09-27 14:59:16",NULL,"R",248
380,"Consumer Spending - Colombia","2013-09-27 16:18:56",NULL,"R",248
381,"Consumer Spending - Costa Rica","2013-09-30 09:12:00",NULL,"R",248
382,"Paraguay","2013-10-01 09:28:30",NULL,"R",13
383,"Consumer Spending - Dominican Republic","2013-10-02 08:35:06",NULL,"R",248
384,"Consumer Spending - U.K.","2013-10-02 12:46:23",NULL,"R",247
385,"Consumer Spending - India","2013-10-02 12:58:06",NULL,"R",250
386,"Consumer Spending - China","2013-10-02 12:58:16",NULL,"R",250
387,"Consumer Spending - Philippines","2013-10-02 12:58:41",NULL,"R",250
388,"Consumer Spending - Bangladesh","2013-10-02 13:02:19",NULL,"R",250
389,"Consumer Spending - Taiwan","2013-10-02 13:02:33",NULL,"R",250
390,"Consumer Spending - Thailand","2013-10-02 13:02:45",NULL,"R",250
391,"Consumer Spending - Indonesia","2013-10-02 13:03:04",NULL,"R",250
392,"Consumer Spending - Japan","2013-10-02 13:06:17",NULL,"R",250
393,"Consumer Spending - Botswana","2013-10-02 13:07:39",NULL,"R",249
394,"Consumer Spending - Ethiopia","2013-10-02 13:07:51",NULL,"R",249
395,"Consumer Spending - Mali","2013-10-02 13:08:07",NULL,"R",249
396,"Consumer Spending - Namibia","2013-10-02 13:08:23",NULL,"R",249
397,"Consumer Spending - Rwanda","2013-10-02 13:08:43",NULL,"R",249
398,"Consumer Spending - South Africa","2013-10-02 13:09:00",NULL,"R",249
399,"Health - Botswana","2013-10-02 13:14:30",NULL,"R",156
400,"Health - Burkina Faso","2013-10-02 13:15:12",NULL,"R",156
401,"Health - Malawi","2013-10-02 13:16:48",NULL,"R",156
402,"Health - Ghana","2013-10-02 13:16:56",NULL,"R",156
403,"Health - Tanzania","2013-10-02 13:17:05",NULL,"R",156
404,"Health - Kenya","2013-10-02 13:17:16",NULL,"R",156
405,"Health - Madagascar","2013-10-02 13:17:25",NULL,"R",156
406,"Health - Nigeria","2013-10-02 13:17:33",NULL,"R",156
407,"Health - Rwanda","2013-10-02 13:17:42",NULL,"R",156
409,"Health - Uganda","2013-10-02 13:26:46",NULL,"r",156
410,"Health - Egypt","2013-10-02 13:33:01",NULL,"R",156
411,"Health - Tunisia","2013-10-02 13:33:11",NULL,"R",156
412,"Labor - Botswana","2013-10-02 13:59:50",NULL,"R",163
413,"Labor - Djibouti","2013-10-02 14:00:11",NULL,"r",163
414,"Labor - Namibia","2013-10-02 14:05:57",NULL,"R",163
415,"Labor - Rwanda","2013-10-02 14:06:05",NULL,"R",163
416,"Labor - Sierra Leone","2013-10-02 14:17:50",NULL,"R",163
417,"Consumer Spending - Zambia","2013-10-03 08:28:00",NULL,"R",249
418,"Ukraine","2014-07-31 08:57:32",NULL,"R",11
419,"Hong Kong","2014-11-04 13:38:49",NULL,"R",12
420,"Bhutan","2014-11-17 12:18:44",NULL,"R",12
421,"Georgia","2015-02-04 08:04:25",NULL,"R",11
422,"Serbia","2015-02-04 08:04:33",NULL,"R",11
423,"Elections - Greece","2015-04-29 09:47:23",NULL,"R",234
424,"Elections - Norway","2015-04-29 09:49:44",NULL,"R",234
425,"Elections - Japan","2015-04-29 10:06:18",NULL,"R",236
426,"Elections - South Korea","2015-04-29 10:06:31",NULL,"R",236
