files,size,comp_size,line_count,line_length,part,file_type_a,file_type_tech,flag_one,flag_two,note,study_num,permission,legacy_id,timestamp,original_study_id
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"recat",44,"-rwxrwxr--",63,"2006-05-26 15:21:37",44
"about.txt",NULL,NULL,NULL,NULL,NULL,"Readme","Text",NULL,NULL,"recat",45,"-rw-r--r--",64,"2008-02-07 10:00:49",45
"sas.export.gz",NULL,NULL,NULL,NULL,NULL,"Data","SAS Export",NULL,NULL,"recat",45,"-rw-r--r--",65,"2004-06-11 14:52:02",45
"spss.portable.gz",NULL,NULL,NULL,NULL,NULL,"Data","SPSS Portable",NULL,NULL,"recat",45,"-rw-r--r--",66,"2004-06-11 14:52:02",45
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,67,"2004-06-11 14:52:02",46
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,68,"2004-06-11 14:52:02",47
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,69,"2004-06-11 14:52:02",48
"cdbk.eurob5.gz",NULL,NULL,NULL,NULL,NULL,"OSIRIS Codebook",NULL,NULL,NULL,NULL,49,"-rwxrwxr--",70,"2004-06-11 14:52:02",49
"data.eurob5.gz",NULL,NULL,NULL,NULL,NULL,"Data",NULL,NULL,NULL,NULL,49,"-rwxrwxr--",71,"2004-06-11 14:52:02",49
"dict.eurob5.gz",NULL,NULL,NULL,NULL,NULL,"OSIRIS Dictionary",NULL,NULL,NULL,NULL,49,"-rwxrwxr--",72,"2004-06-11 14:52:02",49
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,73,"2004-06-11 14:52:02",49
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,74,"2004-06-11 14:52:02",50
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL,75,"2004-06-11 14:52:02",51
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,76,"2004-06-11 14:52:02",52
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,77,"2004-06-11 14:52:02",53
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL,78,"2004-06-11 14:52:02",54
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,79,"2004-06-11 14:52:02",55
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,"-rwxrwxr--",80,"2006-05-26 15:23:27",56
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,"-rwxrwxr--",81,"2006-05-26 15:23:30",56
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,"-rwxrwxr--",82,"2006-05-26 15:24:35",57
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,"-rwxrwxr--",83,"2006-05-26 15:24:39",57
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,84,"2004-06-11 14:52:02",58
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,85,"2004-06-11 14:52:02",59
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,86,"2004-06-11 14:52:02",60
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,87,"2004-06-11 14:52:02",61
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,"-rwxrwxr--",88,"2006-05-26 15:25:33",62
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,"-rwxrwxr--",89,"2006-05-26 15:25:36",62
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,90,"2004-06-11 14:52:02",63
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"recat",64,"-rwxrwxr--",91,"2006-05-26 15:26:07",64
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"recat",64,"-rwxrwxr--",92,"2006-05-26 15:26:11",64
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,93,"2004-06-11 14:52:02",65
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,94,"2004-06-11 14:52:02",66
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,95,"2004-06-11 14:52:02",67
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL,96,"2004-06-11 14:52:02",68
".",NULL,NULL,NULL,NULL,NULL,"Data/Documentation","Adobe/Excel",NULL,NULL,NULL,69,NULL,97,"2009-01-22 16:17:41",69
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,"-rwxrwxr--",98,"2006-05-26 15:27:37",70
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,"-rwxrwxr--",99,"2006-05-26 15:27:42",70
".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"recat",71,NULL,100,"2012-03-02 09:39:12",71
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,101,"2004-06-11 14:52:02",72
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,102,"2004-06-11 14:52:02",73
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,103,"2004-06-11 14:52:02",74
"harbison.diachron.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,83,"-rwxrwxr--",115,"2007-12-13 09:00:27",83
"h1177.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Binary",NULL,NULL,"Harris data",109,NULL,142,"2004-06-11 14:52:02",109
"h1177.quest.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","PDF",NULL,NULL,NULL,109,NULL,143,"2004-06-11 14:52:02",109
"h1177.sascode",NULL,NULL,NULL,NULL,NULL,"SAS Program","SAS",NULL,NULL,NULL,109,NULL,144,"2008-02-11 14:54:26",109
"h1177rec.html",NULL,NULL,NULL,NULL,NULL,"Readme","html",NULL,NULL,NULL,109,NULL,145,"2004-06-11 14:52:02",109
"h1177sas.export.gz",NULL,NULL,NULL,NULL,NULL,"Data","SAS Export",NULL,NULL,NULL,109,NULL,146,"2004-06-11 14:52:02",109
"h1177spss.portable.gz",NULL,NULL,NULL,NULL,NULL,"Data","SPSS Portable",NULL,NULL,NULL,109,NULL,147,"2004-06-11 14:52:02",109
"h1173.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Binary",NULL,NULL,NULL,110,NULL,148,"2004-06-11 14:52:02",110
"h1173.export.gz",NULL,NULL,NULL,NULL,NULL,"Data","SAS Export",NULL,NULL,NULL,110,NULL,149,"2004-06-11 14:52:02",110
"h1173.portable.gz",NULL,NULL,NULL,NULL,NULL,"Data","SPSS Portable",NULL,NULL,NULL,110,NULL,150,"2004-06-11 14:52:02",110
"h1173.sas",NULL,NULL,NULL,NULL,NULL,"SAS Program","SAS",NULL,NULL,NULL,110,NULL,151,"2008-02-11 14:54:46",110
"h1173quest.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","PDF",NULL,NULL,NULL,110,NULL,152,"2004-06-11 14:52:02",110
"h1173rec.html",NULL,NULL,NULL,NULL,NULL,"Readme","html",NULL,NULL,NULL,110,NULL,153,"2004-06-11 14:52:02",110
".",NULL,NULL,NULL,NULL,NULL,NULL,"Text",NULL,NULL,NULL,5052,NULL,8377,"2008-06-25 13:24:02",3301
"norapr",341334,NULL,"4214","80","April","Data","ASCII",NULL,NULL,"Tape 937 was bad, trying tape 2338",119,NULL,167,"2004-06-11 14:52:02",119
"norfeb",332586,NULL,"106","80","February","Data","ASCII",NULL,NULL,"Tape 937 was bad, trying tape 2341",119,NULL,168,"2004-06-11 14:52:02",119
"norjan",321894,NULL,"3974","80","January","Data","ASCII",NULL,NULL,"Tape 937 was bad, trying tape 2342",119,NULL,169,"2004-06-11 14:52:02",119
"normar",33540,NULL,"4140","80","March","Data","ASCII",NULL,NULL,"Tape 937 was bad, trying tape 2345",119,NULL,170,"2004-06-11 14:52:02",119
"normay",24300,NULL,"3000","80","May","Data","ASCII",NULL,NULL,"Tape 937 was bad, trying tape 2346",119,NULL,171,"2004-06-11 14:52:02",119
"prescom.porno",1369681,NULL,"14916","100",NULL,"Data","Text",NULL,NULL,NULL,125,"-rw-rw-r--",179,"2007-12-13 09:44:26",125
"nfs65.dat.Z",1070905,NULL,NULL,NULL,"1965","Data","Stata",NULL,NULL,NULL,132,"-rwxrwxr-x",186,"2007-09-13 07:58:07",132
"nfs70.dat.Z",1498141,NULL,NULL,NULL,"1970","Data","Stata",NULL,NULL,NULL,132,"-rwxrwxr-x",187,"2007-09-13 07:58:10",132
"nfs75.dat.Z",892927,NULL,NULL,NULL,"1975","Data","Stata",NULL,NULL,NULL,132,"-rwxrwxr-x",188,"2007-09-13 07:58:22",132
"f666.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Stata",NULL,NULL,NULL,144,"-rwxrwxr--",200,"2007-09-13 07:58:36",144
"f66601.doc.gz",NULL,NULL,NULL,NULL,NULL,"Record Layout","Word",NULL,NULL,NULL,144,"-rwxrwxr--",201,"2007-09-13 07:59:00",144
"city.state.zips",8596693,NULL,"95179","107",NULL,"Data","Text",NULL,NULL,NULL,158,"-rw-rw-r--",215,"2007-11-29 09:41:12",158
"esc.antisem.study",4126221,NULL,"50941","80",NULL,"Data","Text",NULL,NULL,NULL,167,"-rw-rw-r--",224,"2008-02-07 10:14:46",167
"4748.dat",711870,NULL,NULL,NULL,NULL,"Data","ASCII",NULL,NULL,NULL,209,"-rwxrwxr-x",270,"2004-06-11 14:52:02",209
"4748.vxref",24474,NULL,NULL,NULL,NULL,"Record Layout","ASCII",NULL,NULL,NULL,209,"-rwxrwxr-x",271,"2004-06-11 14:52:02",209
"gbmori1990-m4748.pdf",1407075,NULL,NULL,NULL,NULL,"Codebook","PDF",NULL,NULL,NULL,209,"-rwxrwxr-x",272,"2004-06-11 14:52:02",209
"gmlat1990-227.pdf",1582270,NULL,NULL,NULL,NULL,"Codebook","PDF",NULL,NULL,NULL,210,"-rwxrwxr-x",273,"2004-06-11 14:52:02",210
"gmlat227.dat",34447,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,210,"-rwxrwxr-x",274,"2007-10-11 10:04:11",210
".",NULL,NULL,NULL,NULL,NULL,NULL,"Adobe/SAS/SPSS/html/text/column binary",NULL,NULL,NULL,223,NULL,294,"2008-07-07 12:47:51",223
"Opor52.dat",373572,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,243,"-rwxrwxr-x",317,"2007-12-13 10:15:36",243
"USOPOR1945-052.pdf",56827,NULL,NULL,NULL,NULL,"Codebook","PDF",NULL,NULL,NULL,243,"-rwxrwxr-x",319,"2004-06-11 14:52:02",243
"eefrdata.standrd3.gz",NULL,NULL,NULL,NULL,"EEFR","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",331,"2007-12-06 10:39:02",255
"eefrdict.standrd3.gz",NULL,NULL,NULL,NULL,"EEFR","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",332,"2007-12-06 10:39:02",255
"evcodbk.rlevl5.gz",NULL,NULL,NULL,NULL,"EV","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",333,"2007-12-06 10:39:02",255
"evdata.rlevl5.gz",NULL,NULL,NULL,NULL,"EV","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",334,"2007-12-06 10:39:03",255
"evdict.rlevl5.gz",NULL,NULL,NULL,NULL,"EV","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",335,"2007-12-06 10:39:03",255
"rucodbk.rlevl5.gz",NULL,NULL,NULL,NULL,"RU","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",336,"2007-12-06 10:39:03",255
"rudata.rlevl5.gz",NULL,NULL,NULL,NULL,"RU","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",337,"2007-12-06 10:39:03",255
"rudict.rlevl5.gz",NULL,NULL,NULL,NULL,"RU","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",338,"2007-12-06 10:39:04",255
"sacodbk.rlevl5.gz",NULL,NULL,NULL,NULL,"SA","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",339,"2007-12-06 10:39:04",255
"sadata.rlevl5.gz",NULL,NULL,NULL,NULL,"SA","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",340,"2007-12-06 10:39:04",255
"sadict.rlevl5.gz",NULL,NULL,NULL,NULL,"SA","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",341,"2007-12-06 10:39:04",255
"sbcodbk.rlevl5.gz",NULL,NULL,NULL,NULL,"SB","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",342,"2007-12-06 10:39:05",255
"sbdata.rlevl5.gz",NULL,NULL,NULL,NULL,"SB","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",343,"2007-12-06 10:39:05",255
"sbdict.rlevl5.gz",NULL,NULL,NULL,NULL,"SA","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",344,"2007-12-06 10:39:05",255
"tscodbk.rlevl5.gz",NULL,NULL,NULL,NULL,"TS","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",345,"2007-12-06 10:39:05",255
"tsdata.rlevl5.gz",NULL,NULL,NULL,NULL,"TS","Data","Text",NULL,NULL,NULL,255,"-rwxrwxr--",346,"2007-12-06 10:39:06",255
"tsdict.rlevl5.gz",NULL,NULL,NULL,NULL,"TS","Dictionary","Text",NULL,NULL,NULL,255,"-rwxrwxr--",347,"2007-12-06 10:39:06",255
"ulcodbk.standrd3.gz",NULL,NULL,NULL,NULL,"UL","Codebook","Text",NULL,NULL,NULL,255,"-rwxrwxr--",348,"2007-12-06 10:39:06",255
"6801.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,263,"-rwxrwxr--",357,"2008-07-08 11:38:34",263
"roper144.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Column Binary",NULL,NULL,"recat",269,"-rwxrwxr--",364,"2004-06-11 14:52:02",269
"roper244.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Column Binary",NULL,NULL,NULL,269,"-rwxrwxr--",365,"2004-06-11 14:52:02",269
"roper736.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Column Binary",NULL,NULL,NULL,269,"-rwxrwxr--",366,"2004-06-11 14:52:02",269
"ajc1.gz",NULL,NULL,NULL,NULL,"Distribution by Age, Married Females","Data","Text",NULL,NULL,"recat",271,"-rwxrwxr--",369,"2007-12-06 10:31:07",271
"ajc19.gz",NULL,NULL,NULL,NULL,"Proportion married, Proportion single males, females by age,","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",370,"2007-12-06 10:31:07",271
"ajc2.gz",NULL,NULL,NULL,NULL,"Literacy by Sex,Text Data File,","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",371,"2007-12-06 10:31:08",271
"ajc20.gz",NULL,NULL,NULL,NULL,"Marital status, mean age at marriage","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",372,"2007-12-06 10:31:08",271
"ajc22.gz",NULL,NULL,NULL,NULL,"1897 Census Russia, Poland,nationalities, proportion.Married Females, births","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",373,"2007-12-06 10:31:08",271
"ajc23.gz",NULL,NULL,NULL,NULL,"Births by Nationality","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",374,"2007-12-06 10:31:08",271
"ajc24.gz",NULL,NULL,NULL,NULL,"Females, Marital status, legitiment and illegitment births by age","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",375,"2007-12-06 10:31:09",271
"ajc25.gz",NULL,NULL,NULL,NULL,"Number of Females","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",376,"2007-12-06 10:31:09",271
"ajc3.gz",NULL,NULL,NULL,NULL,"Percent Literate by Age","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",377,"2007-12-06 10:31:09",271
"ajc4.gz",NULL,NULL,NULL,NULL,"Percent Literate and Education","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",378,"2007-12-06 10:31:10",271
"ajc5.gz",NULL,NULL,NULL,NULL,"Percent Literate and Education","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",379,"2007-12-06 10:31:10",271
"ajc6.gz",NULL,NULL,NULL,NULL,"Percent Literate and Education","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",380,"2007-12-06 10:31:10",271
"ajc7.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",381,"2007-12-06 10:31:10",271
"ajc8.gz",NULL,NULL,NULL,NULL,"Annual Marriage by Bride Age","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",382,"2007-12-06 10:31:10",271
"coale3.gz",NULL,NULL,NULL,NULL,"Population by Age, Sex, Education","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",383,"2007-12-06 10:31:11",271
"coale7.gz",NULL,NULL,NULL,NULL,"Population by Age, Sex, Education","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",384,"2007-12-06 10:31:11",271
"coale8.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",385,"2007-12-06 10:31:11",271
"se59.gz",NULL,NULL,NULL,NULL,"1957 Female Life Expectancy","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",386,"2007-12-06 10:31:11",271
"se97.gz",NULL,NULL,NULL,NULL,"1897 Female Life Expectancy","Data","Text",NULL,NULL,NULL,271,"-rwxrwxr--",387,"2007-12-06 10:31:12",271
"njps1970.quest.pdf",NULL,NULL,NULL,NULL,"1970","Questionnaire","PDF",NULL,NULL,NULL,272,"drwxr-xr-x",388,"2004-06-11 14:52:02",272
"njps1971cdb.dk1100-1500.pdf",NULL,NULL,NULL,NULL,"1971 Decks 1100-1500","Codebook","PDF",NULL,NULL,NULL,272,"drwxr-xr-x",389,"2008-06-26 10:53:41",272
"njps1971cdb.dk2100-2600.pdf",NULL,NULL,NULL,NULL,"Decks 2100-2600","Codebook","PDF",NULL,NULL,NULL,272,"drwxr-xr-x",390,"2004-06-11 14:52:02",272
"njps1971cdb.dk3100-4300.pdf",NULL,NULL,NULL,NULL,"1971 decks 3100-4300","Codebook","PDF",NULL,NULL,NULL,272,"drwxr-xr-x",391,"2004-06-11 14:52:02",272
"njps1971cdb.dk7100-add4.pdf",NULL,NULL,NULL,NULL,"1971 decks 7100-Appendix 4","Codebook","PDF",NULL,NULL,NULL,272,"drwxr-xr-x",392,"2004-06-11 14:52:02",272
"njps70.sav",NULL,NULL,NULL,NULL,NULL,"Data","SPSS Save",NULL,NULL,NULL,272,"drwxr-xr-x",393,"2004-06-11 14:52:02",272
"fear.crime.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",273,"-rwxrwxr--",394,"2007-10-04 11:04:15",273
"fear.crime.spss.gz",NULL,NULL,NULL,NULL,NULL,"SPSS Program","SPSS",NULL,NULL,NULL,273,"-rwxrwxr--",395,"2007-10-04 11:07:27",273
"rffceq.std.gz",NULL,NULL,NULL,NULL,NULL,"Fixed Width Text Data","Text",NULL,NULL,"recat",276,"-rwxrwxr--",398,"2007-12-13 09:07:47",276
"rffceq.std.list.gz",NULL,NULL,NULL,NULL,NULL,"Record Layout","Text",NULL,NULL,NULL,276,"-rwxrwxr--",399,"2007-12-13 09:07:48",276
"msacc.dta",710188,NULL,NULL,NULL,"All Metro Central City Data","Data","Stata",NULL,NULL,"No voyager record",277,"rwxrwxr-x",400,"2004-06-11 14:52:02",277
"MSACC01.DCT",892,NULL,NULL,NULL,"Central Cities, part 1","Codebook","Text",NULL,NULL,NULL,277,"rwxrwxr-x",401,"2008-02-07 10:05:12",277
"MSACC01.TXT",155099,NULL,NULL,NULL,"Central Cities, part 1","Data","Text",NULL,NULL,NULL,277,"rwxrwxr-x",402,"2008-02-07 10:05:13",277
"MSACC02.DCT",786,NULL,NULL,NULL,"Central Cities, part 2","Codebook","Text",NULL,NULL,NULL,277,"rwxrwxr-x",403,"2008-02-07 10:05:14",277
