title,blurb
Increasing Women's Access to Skilled Pregnancy Care in Rural Nigeria (2017-2020),"<p>The project&#39;s specific objectives are: 1) to identify the demand and supply factors responsible for the use and non-use of PHCs for pregnancy care in Esan South East and Etsako East LGAs of Edo State\, Nigeria; 2) based on Objective 1\, to derive and implement a set of multi-faceted community-led interventions to increase women&#39;s access to skilled pregnancy care offered in PHCs in Esan South East&nbsp; and Etsako East Local Government Areas (LGA); and 3) to evaluate the effectiveness of the interventions using both indicators of access to services\, as well as maternal and fetal/newborn health outcomes in the intervention communities. &nbsp; The study was conducted in Esan South East and Etsako East Local Government Areas (LGAs) in Edo State in southern Nigeria.&nbsp; Both LGAs are located in the rural and riverine areas of the state\, adjacent to River Niger\, with Estako East in the northern part of the Edo State part of the river\, while Esan South East is in the southern part. Edo State is one of Nigeria&rsquo;s 36 states. Each state consists of LGAs\, and LGAs consist of political/health Wards. Originally designed to be a randomized control trial (Yaya et al.\, 2018) but was changed to a quasi-experiment separate sample pretest and posttest design. The change was necessitated by the difficulty in achieving reliable randomization in the study communities. The study was conducted in 3 phases. At phase one\, a baseline was conducted using a mixed-method approach to address objective 1. Based on the results of the baseline research\, a set of intervention activities were designed and implemented simultaneously in phase 2 for two years. Phase 3 was the endline research which addressed the study objective 3. &nbsp; The data contains baseline and endline data. collected through a mixed-method approach to address the study objectives.&nbsp; The baseline data were collected between July 29 to August 16\, 2017\, using a mixed-method that comprises a household survey\, exit interview\, PHC site assessment survey\, community conversation\, focus group discussion\, and key informant interview. The endline data were collected between June 24 and July 6\, 2020\, using a household survey.&nbsp;</p>\r\n"
"Transportation Revolution and the English Coal Industry, 1695–1842: A Geographical Approach","<p>Cross sections of coal prices in England for 1695\, 1795\, and 1842 are used to infer transportation rates by sea\, river\, canal\, and road. The effectiveness of monopolies\, the degree of market integration\, and the patterns of regional supply of each mining district are then established. The growth rates of productivity in sea\, river\, and road transport from 1695&ndash;1842 are computed and combined with a social savings assessment of canals to measure the overall growth in the productivity of shipping coal. Productivity growth was substantial but had a surprisingly limited impact on the geography of production and consumption.</p>\r\n\r\n<div class=""panel-heading""><strong>Geographic Coverage:</strong>&nbsp;&nbsp; England</div>\r\n\r\n<div class=""panel-heading""><strong>Time Period:</strong>&nbsp; <a data-helplink=""yes"" href=""https://www.openicpsr.org/openicpsr/project/193944/version/V1/view#"" id=""helpLink-imeta-timePeriods"" onclick=""event.preventDefault();displayHelp('imeta-timePeriods'\,this)"" role=""button"" tabindex=""0""><span class=""sr-only"">&nbsp;</span></a> 1/1/1695 &ndash; 12/31/1868 (industrial revolution)</div>\r\n\r\n<div class=""panel-heading""><strong>Universe:</strong>&nbsp;&nbsp; coal trade in England during the Industrial Revolution</div>\r\n\r\n<div class=""panel-heading""><strong>Data Type(s):</strong>&nbsp;&nbsp; administrative records data; geographic information system (GIS) data; observational data</div>\r\n\r\n<div class=""panel-title"">\r\n<h4>Methodology</h4>\r\n</div>\r\n\r\n<div class=""panel-heading""><strong>Data Source:</strong>&nbsp;&nbsp; prices that were observed by contemporaries or institutions</div>\r\n\r\n<div class=""panel-heading""><strong>Collection Mode:</strong> &nbsp; record abstracts</div>\r\n\r\n<div class=""panel-heading""><strong>Unit(s) of Observation:</strong>&nbsp; <a data-helplink=""yes"" href=""https://www.openicpsr.org/openicpsr/project/193944/version/V1/view#"" id=""helpLink-disco-analysisUnit"" onclick=""event.preventDefault();displayHelp('disco-analysisUnit'\,this)"" role=""button"" tabindex=""0""><span class=""sr-only"">V</span></a><span class=""sr-only""> </span>prices paid or observed in town markets</div>\r\n\r\n<div class=""panel-heading""><strong>Geographic Unit:</strong>&nbsp;&nbsp; towns and mines</div>\r\n\r\n<p><strong data-reactid="".2.1:0.0.0"">The following publications cite the data in this project.</strong></p>\r\n\r\n<div id=""bibliography"">\r\n<div data-reactid="".2"">\r\n<div data-reactid="".2.1:0"">\r\n<ul data-reactid="".2.1:0.1"">\r\n	<li data-reactid="".2.1:0.1.$datacite=2cites0"" id=""imeta_publications_datacite:cites_0propertyWrapper"">\r\n	<div data-reactid="".2.1:0.1.$datacite=2cites0.0"">\r\n	<div class=""csl-bib-body"">\r\n	<div class=""csl-entry"">Allen\, Robert. &ldquo;The Transportation Revolution and the English Coal Industry\, 1695&ndash;1842: A Geographical Approach.&rdquo; <i>Journal of Economic History</i> 83\, no. 4 (December 2023).</div>\r\n	</div>\r\n	</div>\r\n	</li>\r\n</ul>\r\n</div>\r\n</div>\r\n</div>\r\n"
"Data and Code for: Economic Effects of Environmental Crises: Evidence from Flint, Michiganv","<p>In April 2014\, Flint\, Michigan switched its drinking water supply from the Detroit water system to the Flint River as a temporary means to save $5M. Over eighteen months\, it was revealed that the switch exposed residents to dangerous levels of lead\, culminating in an emergency declaration in October 2015. This paper examines the impact of this crisis on the Flint housing market. The value of Flint&#39;s housing stock has fallen by $520M to $559M despite over $400M in remediation spending. Home prices remain depressed through August 2019\, sixteen months after the water was declared safe for consumption.&nbsp;</p>\r\n\r\n<p><strong>Geographic Coverage:</strong>&nbsp;&nbsp;&nbsp;Michigan\, Ohio\, New Jersey\, Indiana\, Connecticut</p>\r\n\r\n<p><strong>Time Period:</strong>&nbsp; &nbsp;1/2006 &ndash; 8/2019</p>\r\n\r\n<p><strong>Data Type(s):</strong>&nbsp;&nbsp;administrative records data; aggregate data; census/enumeration data; event/transaction data; geographic information system (GIS) data; observational data</p>\r\n"
"North Dakota Health Insurance Survey, 1998","<p>The objectives of this survey were (1) to determine who the uninsured were in North Dakota\, (2) to show how the 1997 flood affected Grand Forks and other Red River Valley residents\, (3) to provide information to help government and private industry respond to the needs of disaster survivors\, and (4) to update the results of the 1993 health care survey conducted under the State Initiatives in Health Care Reform Program (ROBERT WOOD JOHNSON FOUNDATION EMPLOYER HEALTH INSURANCE SURVEY\, 1993 [ICPSR 6908] and ROBERT WOOD JOHNSON FOUNDATION FAMILY HEALTH INSURANCE SURVEY\, 1993 [ICPSR 6894]). The interview collected information on household composition\, health insurance status for each member of the household\, impact of the flood\, and demographic characteristics such as employment status\, age\, sex\, and income. All households with at least one uninsured individual were administered a needs assessment module to collect more detailed information on health care coverage\, utilization\, and needs\, as well as additional demographic information. Data are presented at the person level and the &quot;family insurance unit&quot; (FIU) level\, a grouping typically used by insurance carriers. A FIU comprises an adult household member\, his or her spouse\, if any\, and any dependent children 0-17 years of age\, or 18-22 years of age if unmarried full-time students.</p>\r\n"
"Household Survey to Value Ecosystem Services and Disservices of Sponge Parks in Can Tho, Vietnam, 2021","<p>Data was collected in an in-person household survey in Can Tho\, Vietnam. Respondents were interviewed in central locations in randomly selected wards and subwards across the centre of the city. The survey covered the perception and use of green and blue spaces in the city. At its core it contains a discrete choice experiment to value a set of ecosystem services and disservices of urban parks: flood management\, recreational facilities and (desirable and undesirable) biodiversity.</p>\r\n\r\n<p>Flooding is the most damaging and costly hydrometeorological hazard affecting millions of people globally every year. In Viet Nam\, low-lying coastal cities\, particularly in river deltas\, face increased flood risk and vulnerability due to rapid urban development and climate change. To reduce flood risk in urban areas\, the recent decade has seen increased appreciation of the potential of Blue/Green Infrastructure (BGI)\, such as natural and man-made wetlands\, vegetated river banks and restored floodplains\, to reduce flood risk and provide additional benefits\, such as controlling water pollutants\, providing recreational opportunities\, improving air quality and increasing resilience to other stressors\, such as heat waves and noise pollution. However\, despite the growing interest in BGI in a flood risk management context\, assessments of the effectiveness and viability of such measures have in the past been mostly piecemeal\, focusing on individual impacts of such measures (e.g. flood risk reduction\, provision of urban green space). Such sectorial assessments cannot account for the potential trade-offs or complementarities between the multiple impacts of individual installations\, let alone whole networks of BGI. Therefore\, ValBGI seeks to develop a multidisciplinary\, stakeholder-informed assessment framework for the effectiveness of BGI to reduce flood risk and improve urban natural capital. Thereby\, the project examines the role of BGI in short- and long-term urban development\, with application to the city of Can Tho\, Viet Nam. This holistic framework integrates a number of disciplines and does not only follow an interlinked and multidisciplinary research agenda but also advances the academic state-of-the-art in the individual disciplines involved. This includes the engagement of key stakeholders in the research process to co-develop solutions and disseminate evidence to key decision-makers; innovative high-resolution modelling of flooding and BGI at the city-scale; and spatially explicit assessment and valuation of changes in the provision of ecosystem services enabling the quantification of the investment into urban natural capital effectuated by BGI. To achieve these objectives\, the project comprises four work packages which function as interlinked components within the multidisciplinary assessment framework: (1) The operational backbone of ValBGI is a work package that establishes a stakeholder group to work alongside the research team from start to end. This component assesses (and when necessary stimulates) the awareness of alternative natural processes-based BGI options among local and regional urban planners and other key stakeholders. (2) A second work package reviews existing flood models for Can Tho and the Vietnamese Mekong Delta and develops a new high-resolution modelling system to assess the effectiveness of selected BGI measures in reducing flood risk. (3) In the third work package\, changes in the provision of ecosystem services following the installation of BGI measures will be assessed and mapped. (4) In the fourth work package costs and benefits of BGI measures (in terms of flood risk reductions and improvements of urban natural capital) are quantified by means of valuation\, and cost-benefit analyses of BGI scenarios are conducted. The continuous stakeholder engagement in ValBGI ensures awareness for and uptake of the research outcomes by decision-makers to maximise impact of the evidence produced. Furthermore\, the holistic approach provides a better understanding of the potential trade-offs and complementarities between flood risk reduction and improvement of natural capital generated by BGI. Exploring all simultaneous impacts of BGI is beneficial in providing environmental managers and urban planners with a complete array of information for supporting planning decisions.</p>\r\n\r\n<p>To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA.</p>\r\n"
"Household Survey for Evaluation of Bolivia Livelihoods Resilience Project, 2015","<p><span data-ng-show=""abstractDisplay"" style="""">The <span style=""font-style: italic;"">Household Survey for Evaluation of Bolivia Livelihoods Resilience Project\, 2015</span> data were collected by Oxfam for an Effectiveness Review of the &#39;Supporting communities in Bolivia to adapt to changing weather patterns and improve their livelihoods&#39; project in the 2014/15 financial year. It should be noted that this project was active between 2010 and 2013\, while its predecessor was launched in 2008.<br />\r\n<br />\r\nThe key activities of this project\, together with its predecessor\, included constructing and promoting the use of camellones\, an indigenous land-management system intended to protect livelihoods (agriculture and fish farming) against drought or flood\, thereby increasing resilience.<br />\r\n<br />\r\nData collection took place in April 2015 around the regional capital of Trinidad in the Department of Beni. The intervention group consisted of all project households from three rural communities and one peri-urban area that could be identified and located. The comparison group consisted of a randomly selected sample of households from rural communities and peri-urban areas that were similar to the project communities in terms of a number of key characteristics\, including the dominant livelihood strategies employed by community members\, the distance of the community from large rivers\, and the ethnic composition of the community.</span></p>\r\n\r\n<p>To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA.</p>\r\n"
"REACH Dhaka WASH Household Survey, 2017-2018","<p>The REACH Dhaka WASH Household Survey was conducted between December 2017 and February 2018 to collect quantitative data on various indicators of multidimensional poverty\, the state of drinking water services and sanitation facilities\, household expenditures\, illnesses in the past year and priority concerns for development. The survey was carried out along a 25km stretch of river (Turag and Tongi-Khal) in northern Dhaka covering low income settlements within 1km of the riverbank. The survey was administered to 1826 households randomly selected from 10 communities. The survey was administered in Bangla through an electronic form developed in ONA (https://ona.io/)\, and was conducted by 15 trained local enumerators.</p>\r\n\r\n<p>REACH is a global research programme to improve water security for the poor by delivering world-class science that transforms policy and practice. Living in poverty often means a struggle for water security. Rapid urban growth\, unregulated pollution from industry\, extreme floods and droughts\, lack of reliable and safe drinking water\, and increasing damage to water ecosystems threaten economies and undermine the lives of the poor. Improving water security is an important pathway to sustainable growth and poverty reduction. However\, better evidence is needed to guide institutional and infrastructure investments which unlock growth opportunities and help people move out of poverty. The REACH programme will improve water security for over ten million poor people by: -generating new evidence on water security through an innovative\, interdisciplinary\, risk-based approach -establishing science\, practitioner and enterprise partnerships to ground research in approaches that will benefit the poor building capacity and networks for the next generation of water managers and scientists in Africa and South Asia. REACH is a nine-year programme (2015-2024) led by Oxford University with international consortium of partners and funded with UK Aid Direct from the UK Government&rsquo;s Foreign\, Commonwealth &amp; Development Office.</p>\r\n"
"Plan de Vidas, Communal Management Plans, of Indigenous Communities in Peruvian Amazonia, 2020-2023","<p>The attached data is in the form Planes de Vidas (communal management plans) of Indigenous communities on the Inuya and Pur&uacute;s Rivers\, in Peruvian Amazonia. These were produced using collaborative approaches to collect and record data from the communities. As well as offering key data on specific communities\, the Planes de Vidas also outline issues each community currently faces as well as community members&rsquo; own agreed plans and aspirations for the future. The ones included here were produced as part of a project\, &ldquo;The Making of an Integrated Landscape of Conservation&rdquo; centred on supporting Indigenous communities within Peru&rsquo;s designated the Pur&uacute;s-Man&uacute; conservation corridor to evaluate the social\, environmental and development challenges they face and then plan pathways to their desired futures. The Planes de Vidas include information on the natural resources\, history\, economics\, politics\, and social and cultural aspects of the communities. As well as collecting data from physical observations and measurements\, socio-cultural and historical data was collected in collaborative\, communal workshops and discussions with a range of representative participants from all parts of the communities. The specific Comunidades Nativas included are San Juan de Inuya\, Bola de Oro\, Catay\, Renacimiento Ash&aacute;ninca\, San Marcos and Sinai. N.b. all documents are in Spanish.</p>\r\n\r\n<p>Focused on the Purus-Manu conservation corridor in Peruvian Amazonia and innovating around Plan de Vida methodologies\, the project centres on supporting Indigenous communities to evaluate the social\, environmental and development challenges they face and then plan pathways to their desired futures. Drawing on the project team&rsquo;s wider collaborative network of relevant\, Indigenous federations and institutions and governmental and non-governmental organisations the project then seeks to engage with the challenges raised by the research to inform relevant actions\, interventions and guide policy changes.</p>\r\n"
"UNHCR-WFP Joint Assessment Mission in Maratane, 2020-2021 [Mozambique]","<p>The objectives of the UNHCR-WFP Joint Assessment Mission (JAM) 2021 were to: collect updated information on refugees&rsquo; and host communities&rsquo; capacities to meet their basic needs\, their livelihood opportunities and challenges\, and any related protection concerns\, including the level of integration and social cohesion between the two groups; understand the current food security and nutrition situation of the refugees and host community; and describe the vulnerability characteristics of refugee households in the camp and those in the host community to inform programmatic decision-making.<br />\r\n<br />\r\nThe survey was designed to generate statistically representative findings for the refugee population residing in Maratane settlement and the Mozambican host community living east of the river Ruvuma within a 6 km radius from the centre of the settlement. In addition to the household survey\, 16 focus group discussions (FGDs) and 7 key informant interviews were conducted both in-settlement refugees and the host community. Data collection of household survey took place between 20th August and 11th September\, and FGDs and key informant interviews between 20th September and 15th October 2021.<br />\r\n<br />\r\nThe sample frame of the refugee household survey for Maratane settlement was UNHCR&rsquo;s proGres database and was verified by the Instituto Nacional de Apoio aos Refugiados (INAR). The sample was drawn each in Maratane settlement and the host community at the 95 per cent of confidence level and 5 per cent considering non-response rates. In the settlement\, the sample was stratified by sex of household heads. In total\, 951 households completed interviews\, 579 in the settlements and 372 in the host community.<br />\r\nThe scope includes:<br />\r\n- household demographics<br />\r\n- food production<br />\r\n- food security and nutrition<br />\r\n- health<br />\r\n- income\, expenditures and debt<br />\r\n- living conditions<br />\r\n- protection<br />\r\n- water and sanitation<br />\r\n- feedback on humanitarian assistance</p>\r\n"
"Bicol Multipurpose Survey (BMS), 1983: [Philippines]","<p>Designed to revisit the residents of the Bicol Region who were surveyed during 1978 in an effort to review the progress of the Bicol River Basin Development Project (BRBDP). Follows the same design as Bicol Multipurpose Survey\, 1978\, with the data being organized into 31 &#39;&#39;blocks&#39;&#39; or series of questions. Respondents were again asked about income\, employment\, education\, health status\, and health services. Additionally\, the 1983 survey gathered extensive information on fishing\, business expenses\, and small business activities\, along with fertility\, pregnancy\, and mortality histories. Due to time and cost considerations\, detailed questions on credit\, some health-related items regarding beliefs\, chronic illnesses\, and breast-feeding\, and detailed questions on crops were not included in the 1983 BMS. Section I\, Household Data (Parts 1-32)\, focused on background information\, transportation\, environment\, morbidity\, and health services. Information was gathered about people living in the household six months prior to the survey as well as people who had left the household five years prior to the survey. Expenditure data on schooling were gathered for individuals 6-30 years of age. Marriage and pregnancy histories were elicited from women aged 15-49 along with family planning and birth interval information. Section II\, Agriculture/Income/Labor Data (Parts 33-87)\, posed questions on employment\, wages\, and hired labor for men\, women\, and children aged 6-15. Data on coconut\, sugar cane\, and abaca crop production were also gathered\, along with information about livestock and poultry\, and extensive data were collected about fishing activities. Fishing boat owners were interviewed\, along with capture fisherman who fished both inland and marine waters. The Barangay Survey (Parts 88-96) provided information about characteristics of the barangay in which the respondent lived (a barangay is a political subdivision equivalent to a village in rural areas and to a neighborhood in urban areas)\, services available in the community\, types of social services or practitioners\, the availability of public utilities and transportation\, different types of organizations present within the barangay\, employment conditions\, and environmental sanitation conditions.</p>\r\n"
"Household Survey for Evaluation of Nepal Resilience Project, 2016","<p><span data-ng-show=""abstractDisplay"" style="""">The <span style=""font-style: italic;"">Household Survey for Evaluation of Nepal Resilience Project\, 2016</span>&nbsp;data were collected by Oxfam for an Effectiveness Review of the &#39;Joint Programme on Disaster Risk Management and Humanitarian Preparedness&#39; project in the 2015/16 financial year. It should be noted that this project was active between April 2011 and March 2016.<br />\r\n<br />\r\nThe project aimed to build the resilience of project participants to a number of different shocks and stresses. Households&#39; livelihoods in the region are typically based around agricultural activities\, which are threatened by floods\, droughts\, outbreaks of human and animal diseases\, and spells of especially cold weather. The project worked at a number of different levels to reduce households&#39; vulnerability to these risks. Within communities\, a programme of training and support was provided to enhance the activities of local disaster management committees and women&#39;s empowerment groups (WEGs). Improved Water\, Sanitation and Hygiene (WASH) facilities were also constructed\, as well as small-scale flood mitigation structures\, such as embankments\, culverts\, and dams. The project also supported district- and national-level institutions to help create disaster management plans\, which should have a wider impact on resilience. Furthermore\, the project undertook some advocacy activities to try and change national policies related to disaster management.<br />\r\n<br />\r\nData collection took place in January 2016 in four districts in the Terai region of southern Nepal - Dhanusha\, Rautahat\, Salarhi\, and Saptari. The intervention group consisted of a randomly selected sample of project households from 8 Village Development Committees (VDCs) - which are similar to municipalities - using household lists based on lists of WEG members. The comparison group consisted of a randomly selected sample of households from 12 non-project VDCs that were similar to the project communities in terms of a number of key characteristics\, including the dominant livelihood strategies employed by community members\, the distance of the community from large rivers\, and the ethnic composition of the community.</span></p>\r\n\r\n<p>To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA.</p>\r\n"
"Bicol Multipurpose Survey (BMS), 1978: [Philippines]","<p>Designed to assess the impact of the Bicol River Basin Development Project (BRBDP) on one of the poorest regions in the Philippines. Using data collected from both semi-urban and rural areas of the Bicol Region\, the BMS sought to examine the impact not only of the various development projects of the BRBDP such as irrigation\, electricity\, and road repair\, but also the economic\, social\, and health issues faced by the residents of the Bicol Region. The survey gathered data for 17 project areas and 3 cities in the provinces of Albay\, Camarines Sur\, and Sorsogon. Household-level information (Part 1) covers household characteristics\, physical environment\, income and expenditures\, distance from schools\, and respondents&#39; feelings about household conditions and the progress of the barangay in which they lived (a barangay is a political subdivision equivalent to a village in rural areas and to a neighborhood in urban areas). Information on topics such as attitudes about foods during pregnancy\, infant and child care\, prenatal care\, community involvement\, and work history are contained in a separate Mothers Data file (Part 2). The individual-level data (Parts 3-5) contain demographic information such as age\, sex\, and education\, and include time spent on household and occupational tasks. Information was collected from persons as young as 6 years of age\, but was coded for individuals 15 years and older for tasks such as selling\, food preparation\, farm work\, raising livestock and poultry\, and the type and amount of fishing. Morbidity data from over 17\,000 individuals are also included. The Household Production files (Parts 6-11) cover agriculture and business\, crop production\, rice farming\, raising livestock and poultry\, type of fishing done\, and quantity of fish caught. Also included are income figures\, assets\, and liabilities. The Barangay Survey (Part 12) examines the physical aspects of the barangay and the use of social services in the area to determine the impact of the BRBDP and outside influences. The barangay captain or official records provided information on the physical characteristics\, community services\, medical services\, social services\, sanitation\, and educational systems available within the barangay. The Extension Workers Survey (Part 13) asked 324 workers about their knowledge and activities regarding agricultural practices such as fertilizer use\, pest and disease control\, and other aspects of planting and transplanting. Through the Medical Practitioners Survey (Part 14)\, 426 practitioners were asked questions on their education and training\, general health knowledge and experience\, and knowledge and attitudes about birth control. Data collected in 1978\, 1983\, and 1994 can be used individually or merged together on a unique household identifier found in Part 15 (with the exception of the Medical Practitioners and Extension Workers data).</p>\r\n"
"Land Use, Agropastoral Production, Family Composition, and Household Economy in Santarem, Para, Brazil, June-August 2003 (ICPSR 34347)","<p>Consists of 8 interconnected datasets and 1 linking file. The primary unit of analysis is the rural property or lot. Each lot in the sample contains a minimum of 1 household with a mean of 1.33 households per lot in the final sample. Within households\, data were collected on subsets of individuals as well as additional properties used by the households in the study. These 2003 Santarem data come from interviews with farm families in an agricultural zone south of the city of Santarem in the Brazilian state of Para. The study region is adjacent to the confluence of the Amazon and Tapajos Rivers and the northern terminus of the BR-163 (the Cuiaba-Santarem Highway). BR-163 links intensive agropastoral production (particularly mechanized soybean farming) in the state of Mato Grosso to Santarem\, where the multinational corporation Cargill runs a deepwater port (opened in 2003) for loading soybeans onto oceangoing ships. The opening of this port has accelerated the process of urbanization and led to a transformation from a landscape of small family farming to a landscape of mechanized agriculture. The discourse on deforestation has focused on the alarming rates of deforestation in the Amazon Basin to the neglect of the dynamic and reciprocal influences between the human population and the environment. This study investigated 5 basic questions: (1) Does the changing availability of household labor over the household life cycle affect the trajectory of deforestation and land use change in the same way for later generations of Amazonian farmers as for first generation in-migrants? (2) What are the determinants of changing household labor supply? Specifically\, what are the biophysical and socioeconomic determinants of entries into and exits from the household through fertility\, migration\, and marriage? (3) How are the decisions of households regarding land use and labor allocation constrained by soil quality\, access to water supplies\, interannual drought events (e.g. El Nino type events)\, and other resource scarcities? (4) Are there notable differences in land use choices made by landholders who live in an urban area (away from the piece of land owned in the rural area) in contrast to the decisions made by those who live on their rural properties? (5) What are the bases for the precipitous decline in female fertility in these frontier regions\, especially the use of sterilization after two pregnancies? Households will be surveyed in the Santarem region\, in the Lower Tapajos Basin\, Brazilian Amazon to collect detailed demographic\, land-use histories\, and economic data. The sampling of households for inclusion in the study will be based on a stratified random sample by period of occupation in Santarem\, to capture intergenerational processes that preceded the availability of satellite images. Based on the particular combination of methodologies used in this investigation (traditional household surveys\, satellite image analysis\, and GIS\, and the scaling up and down from households to landscape)\, future environmental changes were projected for the regional landscape under various scenarios of continued settlement\, household life cycles\, combinations of credit\, and changing environmental conditions.</p>\r\n"
Asian Elephant Vocalizations,"<p>&nbsp;Asian Elephant Vocalizations\, Linguistic Data Consortium (LDC) catalog number LDC2010S05 and isbn 1-58563-557-X\, consists of 57.5 hours of audio recordings of vocalizations by Asian Elephants (<i>Elephas maximus</i>) in the Uda Walawe National Park\, Sri Lanka\, of which 31.25 hours have been annotated. Voice recording field notes were made by Shermin de Silva and Ashoka Ranjeewa\, of the Uda Walawe Elephant Research Project. The collection and annotation of the recordings was conducted and overseen by Shermin de Silva\, through the University of Pennsylvania Department of Biology\, and Institute for Research in Cognitive Science. The recordings primarily feature adult female\, and juvenile elephants. Existing knowledge of acoustic communication in elephants is based mostly on African species (<i>Loxodonta africana</i>&nbsp;and&nbsp;<i>Loxodonta cyclotis</i>). There has been comparatively less study of communication in Asian elephants\, primarily becaUse the habitat in which Asian elephants typically live makes them more difficult to study than African forest elephants. For other current elephant vocalization research\, see&nbsp;<a href=""http://elephantvoices.org/"" rel=""nofollow"">ElephantVoices</a>&nbsp;and the Cornell Lab of Ornithologys&nbsp;<a href=""http://www.birds.cornell.edu/brp/elephant/"" rel=""nofollow"">Elephant Listening Project</a>.</p>\r\n\r\n<p>This corpus is intended to enable researchers in acoustic communication to evaluate acoustic features and repertoire diversity of the recorded population. Of particular interest is whether there may be regional dialects that differ among Asian elephant populations in the wild and in captivity. A second interest is in whether structural commonalities exist between this and other species that shed light on underlying social and ecological factors shaping communication systems.</p>\r\n\r\n<h3>Methods</h3>\r\n\r\n<h4>Study site and subjects</h4>\r\n\r\n<p>Uda Walawe National Park (UWNP)\, Sri Lanka\, is located at latitude 630&deg;14.0646N\, longitude 80&deg;5428.1268E\, and an average altitude of 118 m above sea level. It occupies 308 km<sup>2</sup>&nbsp;and contains tall grassland\, dense scrub\, riparian forest\, secondary forest\, rivers and seasonal streams. It also contains several natural and man-made water sources and reservoirs with seasonal floodplains. There are two monsoons per calendar year\, separated by dry seasons of variable length. Over 300 adult females have been individually identified in UWNP using characteristics of the ears\, tail\, and other natural markings (Moss\, 1996).</p>\r\n\r\n<h4>Data collection</h4>\r\n\r\n<p>Data were collected from May\, 2006 to December\, 2007. Observations were performed by vehicle during park hours from 0600 to 1830 h. Most recordings of vocalizations were made using an Earthworks QTC50 microphone shock-mounted inside a Rycote Zeppelin windshield\, via a Fostex FR-2 field recorder (24-bit sample size\, sampling rate 48 kHz) connected to a 12 V lead acid battery. Recordings were initiated at the start of a call with a 10-s pre-record buffer so that the entire call was captured and loss of rare vocalizations minimized. This was made possible with the pre-record feature of the Fostex\, which records continuously\, but only saves the file with a 10-second lead once the record button is depressed. In order to minimize loss of low-frequency or potentially inaudible calls\, recording was continued for at least three minutes following the end of vocalization events. During the first two months\, hour-long recording sessions were also carried out opportunistically while in close proximity to a group. However\, spectrograms showed that few vocalizations were captured therefore\, this was discontinued.</p>\r\n\r\n<h5>&nbsp;</h5>\r\n"
